fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones
1/10/2025,Las Huertas,San Luis,1/10/2025,Activo,32° 22' 51.78'' S,65° 47' 16.37'' O,Libertador General San Martín,"Latitud: 32° 22' 51.78'' S, Longitud: 65° 47' 16.37'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Institución: otros. Institución: BB.VV San Martín. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: otros. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. ]"
2/10/2025,Las Huertas,San Luis,29/09/2025,Contenido,32° 22' 51.78'' S,65° 47' 16.37'' O,Libertador General San Martín,"Latitud: 32° 22' 51.78'' S, Longitud: 65° 47' 16.37'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
3/10/2025,Las Huertas,San Luis,1/10/2025,Extinguido (03/10 /2025),32° 22' 51.78'' S,65° 47' 16.37'' O,Libertador General San Martín,"Latitud: 32° 22' 51.78'' S, Longitud: 65° 47' 16.37'' O. - Depto.: Libertador General San Martín. [ Institución: snmf. Institución: BBVV San Martín. Tipo: rrhh. Subtipo: bomberos. ]"
14/10/2025,Cortaderas,San Luis,14/10/2025,Activo,32° 33' 28.08'' S,64° 58' 27.84'' O,Chacabuco,"Latitud: 32° 33' 28.08'' S, Longitud: 64° 58' 27.84'' O. - Depto.: Chacabuco. [ Institución: otros. Tipo: rrhh. Subtipo: bomberos. ]"
15/10/2025,Cortaderas,San Luis,14/10/2025,Contenido,32° 33' 28.08'' S,64° 58' 27.84'' O,Chacabuco,"Latitud: 32° 33' 28.08'' S, Longitud: 64° 58' 27.84'' O. - Depto.: Chacabuco. [ Institución: otros. Tipo: rrhh. Subtipo: bomberos. ]"
16/10/2025,Cortaderas,San Luis,14/10/2025,Controlado,32° 33' 28.08'' S,64° 58' 27.84'' O,Chacabuco,"Latitud: 32° 33' 28.08'' S, Longitud: 64° 58' 27.84'' O. - Depto.: Chacabuco. Bosque Nativo: 30%. Arbustal/Matorral: 40%. Pastizal: 30%. [ Institución: otros. Institución: BB.VV. Cortaderas, Villa Larce, Los Molles, Carpintería y Merlo. Tipo: rrhh. Subtipo: bomberos. ]"
17/10/2025,Cortaderas,San Luis,14/10/2025,Extinguido (17/10 /2025),32° 33' 28.08'' S,64° 58' 27.84'' O,Chacabuco,"Latitud: 32° 33' 28.08'' S, Longitud: 64° 58' 27.84'' O. - Depto.: Chacabuco."
28/11/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
29/11/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
30/11/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Tipo: rrhh. Subtipo: pobladores. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] [ Institución: snmf. Tipo: aereo. Subtipo: helicoptero. Modelo tipo: bell_407. Cantidad: 1. ]"
1/12/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. Trabajan: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán, 1AT-802 AFE/SNMF"
2/12/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
3/12/2025,Anchorena,San Luis,25/11/2025,Extinguido (03/12 /2025),35° 46' 57.00'' S,65° 39' 15.00'' O,Gobernador Dupuy,"Latitud: 35° 46' 57.00'' S, Longitud: 65° 39' 15.00'' O. - Depto.: Gobernador Dupuy. Superficie: 8531,00."
3/12/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 40%. Bosque Implantado: 30%. Pastizal: 30%. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: otros. Institución: AT-802. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
4/12/2025,Las Aguadas,San Luis,24/11/2025,Extinguido (05/12/2025),32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ]"
26/12/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ]"
27/12/2025,Las Aguadas,San Luis,24/11/2025,Controlado,32° 18' 57.24'' S,65° 28' 56.64'' O,Libertador General San Martín,"Latitud: 32° 18' 57.24'' S, Longitud: 65° 28' 56.64'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 30%. Arbustal/Matorral: 30%. Pastizal: 40%. [ Institución: otros. Institución: BB.VV. San Martín, Merlo, Tilisdarao, San Pablo y Concarán. Tipo: rrhh. Subtipo: bomberos. ] [ Institución: snmf. Institución: AT-802. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ]"
