fecha_reporte,nombre,provincia,fecha_inicio,estado,latitud,longitud,departamento,observaciones,,
20/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 19. ] [ Institución: snmf. Tipo: aereo. Subtipo: helicoptero. Modelo tipo: bell_407. Cantidad: 1. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
21/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%",,
21/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
21/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 19. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
22/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
22/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
22/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 16. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
23/09/2024,Balcarce,San Luis,19/09/2024,Contenido,32° 33' 39.50'' S,65° 2' 14.51'' O,Chacabuco,"Latitud: 32° 33' 39.50'' S, Longitud: 65° 2' 14.51'' O. - Depto.: Chacabuco. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%.",,
23/09/2024,La Aguada,San Luis,21/09/2024,Activo,32° 18' 43.00'' S,65° 49' 48.00'' O,Ayacucho,"Latitud: 32° 18' 43.00'' S, Longitud: 65° 49' 48.00'' O. - Depto.: Ayacucho. Bosque Nativo: 33%. Arbustal/Matorral: 33%. Pastizal: 34%. [ Tipo: rrhh. Subtipo: bomberos. ]",,
23/09/2024,Las Lagunas,San Luis,18/09/2024,Activo,32° 38' 12.12'' S,65° 32' 51.72'' O,Libertador General San Martín,"Latitud: 32° 38' 12.12'' S, Longitud: 65° 32' 51.72'' O. - Depto.: Libertador General San Martín. Bosque Nativo: 33%. Arbustal/ Matorral: 33%. Pastizal: 34%. [ Institución: snmf. Institución: BNC. Tipo: rrhh. Cantidad: 16. ] [ Institución: snmf. Tipo: aereo. Subtipo: avion_hidrante. Modelo tipo: at_802. Cantidad: 1. ] El Incendio Potrerillos se unió al Incendio Las Lagunas, pasan a denominarse: Las Lagunas/Potrerillos",,
